id,Age,Gender,Sleep_Start,Sleep_End,Sleep_Duration,Sleep_Quality,Exercise_Time,Caffeine_Intake,Screen_Time_Before_Bed,Work_Hours,Productivity_Score,Mood_Score,Stress_Level
1860.0,32.0,Other,23.33,4.61,5.28,3.0,86.0,87.0,116.0,8.80892009394567,8.0,3.0,6.0
2528.0,20.0,Male,22.1,3.45,5.35,7.0,17.0,88.0,59.0,8.506305742764315,10.0,9.0,10.0
8041.0,37.0,Other,23.1,6.65,7.55,8.0,46.0,34.0,80.0,6.070239852800135,8.0,4.0,2.0
4843.0,46.0,Other,21.42,4.17,6.75,10.0,61.0,269.0,94.0,11.374993880184936,8.0,7.0,9.0
6463.0,18.0,Other,22.83,6.87,8.03,3.0,34.0,288.0,122.0,4.592357213872723,7.0,10.0,9.0
9110.0,31.0,Other,20.07,3.37,7.31,7.0,26.0,206.0,14.0,4.887126566494651,3.0,7.0,1.0
6116.0,49.0,Female,20.37,3.89,7.52,4.0,12.0,159.0,70.0,6.318011623310144,6.0,2.0,10.0
3693.0,45.0,Female,21.17,3.29,6.12,7.0,88.0,230.0,128.0,5.8234813003355335,9.0,4.0,9.0
8526.0,23.0,Other,20.6,4.56,7.96,10.0,43.0,151.0,58.0,6.585623456166042,8.0,9.0,4.0
2853.0,29.0,Female,22.02,6.08,8.06,5.0,55.0,80.0,112.0,11.812919646661223,6.0,7.0,5.0
,36.0,Other,23.67,7.62,7.95,7.0,81.0,128.0,10.0,6.728530808402068,9.0,2.0,7.0
1262.0,33.0,Female,23.93,7.02,7.08,1.0,1.0,253.0,139.0,8.46634762885678,7.0,9.0,9.0
3961.0,35.0,Female,21.57,5.33,7.76,9.0,32.0,67.0,32.0,7.951149721467477,4.0,8.0,8.0
2218.0,34.0,Male,23.18,6.23,7.04,6.0,21.0,237.0,157.0,11.784084438019566,3.0,6.0,8.0
7655.0,33.0,Female,23.83,6.02,6.19,2.0,65.0,287.0,85.0,6.625221339797855,10.0,6.0,10.0
,49.0,Female,22.57,6.25,7.69,4.0,15.0,268.0,113.0,8.130402786409562,3.0,1.0,8.0
6177.0,43.0,Male,21.87,2.77,4.9,9.0,11.0,128.0,57.0,11.321709821011844,2.0,6.0,9.0
,56.0,Other,20.35,4.5,8.15,3.0,75.0,153.0,143.0,5.269171581139928,6.0,9.0,5.0
3849.0,48.0,Female,21.3,4.32,7.02,1.0,68.0,3.0,15.0,4.564549979203439,7.0,2.0,1.0
1851.0,41.0,Female,22.98,4.13,5.14,3.0,42.0,100.0,11.0,7.088821102406194,1.0,8.0,10.0
1717.0,48.0,Other,21.77,2.68,4.92,5.0,11.0,24.0,179.0,9.380147648616308,4.0,5.0,7.0
2062.0,59.0,Female,22.22,5.46,7.25,5.0,34.0,214.0,74.0,4.936536131420847,9.0,10.0,10.0
5268.0,30.0,Female,23.95,8.15,8.2,8.0,60.0,0.0,130.0,8.666950120777276,9.0,1.0,9.0
1928.0,55.0,Male,21.95,2.51,4.56,5.0,79.0,212.0,163.0,8.430834275210566,4.0,9.0,2.0
2256.0,31.0,Other,22.0,5.64,7.64,6.0,2.0,143.0,11.0,11.66961925926277,8.0,6.0,8.0
5468.0,25.0,Female,23.58,6.4,6.82,10.0,59.0,177.0,27.0,4.621877095719879,9.0,4.0,6.0
9989.0,22.0,Other,23.53,7.92,8.39,2.0,48.0,266.0,84.0,9.996626399808576,9.0,6.0,1.0
2252.0,38.0,Female,21.17,2.73,5.56,6.0,63.0,251.0,37.0,8.86470279633508,2.0,3.0,2.0
5261.0,50.0,Other,23.48,7.09,7.61,3.0,80.0,132.0,28.0,5.176587847432304,8.0,1.0,10.0
4579.0,37.0,Male,21.08,4.05,6.96,3.0,22.0,182.0,79.0,5.215221548098355,6.0,8.0,4.0
9472.0,20.0,Other,22.47,7.83,9.37,10.0,50.0,276.0,4.0,6.760661022579094,10.0,6.0,5.0
1364.0,43.0,Female,22.92,4.08,5.17,3.0,22.0,237.0,106.0,8.256907882122526,2.0,10.0,6.0
,32.0,Male,22.6,4.01,5.41,7.0,56.0,272.0,85.0,6.619978817423317,9.0,1.0,4.0
8561.0,20.0,Male,20.28,1.22,4.93,6.0,33.0,110.0,7.0,8.692283477286072,3.0,10.0,9.0
3551.0,55.0,Other,21.93,6.03,8.09,8.0,25.0,172.0,43.0,5.640620481195673,10.0,6.0,4.0
1009.0,22.0,Other,21.72,3.23,5.51,8.0,1.0,83.0,64.0,5.110598187536163,9.0,1.0,9.0
6951.0,46.0,Other,20.6,2.11,5.51,3.0,84.0,164.0,4.0,5.885533968519998,10.0,4.0,9.0
2120.0,54.0,Other,22.53,3.2,4.67,6.0,65.0,9.0,4.0,11.014125094093997,1.0,6.0,6.0
7371.0,41.0,Other,20.12,1.37,5.25,4.0,75.0,172.0,129.0,4.097624578544356,3.0,3.0,4.0
1793.0,44.0,Male,23.17,8.46,9.3,8.0,37.0,133.0,22.0,7.696046429153061,10.0,8.0,2.0
6732.0,38.0,Female,21.58,2.71,5.12,9.0,0.0,54.0,114.0,8.730203485959434,5.0,9.0,5.0
3079.0,47.0,Male,20.73,3.12,6.39,8.0,18.0,17.0,0.0,10.204220933560084,2.0,2.0,6.0
6797.0,21.0,Male,23.47,4.34,4.88,3.0,31.0,265.0,109.0,8.21262773327435,1.0,7.0,7.0
,46.0,Male,20.9,2.67,5.77,7.0,58.0,254.0,71.0,4.832868655876591,5.0,3.0,3.0
4675.0,25.0,Female,22.52,7.96,9.44,8.0,45.0,164.0,141.0,6.345181842088106,2.0,7.0,10.0
,37.0,Male,20.62,4.99,8.37,9.0,52.0,279.0,80.0,10.947743807183302,8.0,7.0,1.0
3573.0,26.0,Female,20.4,2.19,5.79,6.0,21.0,234.0,3.0,5.058209689002643,2.0,7.0,5.0
3866.0,53.0,Other,21.47,3.91,6.45,8.0,10.0,163.0,112.0,9.772262888975243,8.0,3.0,6.0
2252.0,47.0,Female,21.18,3.49,6.3,1.0,60.0,16.0,73.0,9.524481859565125,1.0,8.0,3.0
3708.0,34.0,Other,20.88,4.57,7.69,8.0,24.0,88.0,11.0,5.769675534556818,10.0,9.0,10.0
5873.0,33.0,Other,20.37,3.65,7.28,6.0,6.0,269.0,78.0,9.57936213797472,9.0,3.0,8.0
4241.0,51.0,Female,22.9,4.33,5.43,2.0,31.0,95.0,122.0,11.9834728842667,4.0,1.0,5.0
,18.0,Male,21.23,3.87,6.64,1.0,87.0,139.0,36.0,10.290760115324415,6.0,7.0,8.0
9202.0,30.0,Female,20.1,5.56,9.46,8.0,19.0,62.0,53.0,8.861894359030874,10.0,2.0,9.0
9220.0,28.0,Male,21.77,4.71,6.94,3.0,74.0,57.0,25.0,5.271506266214052,2.0,4.0,1.0
7540.0,58.0,Other,22.9,7.53,8.63,4.0,31.0,129.0,174.0,9.443994416597704,6.0,3.0,1.0
,29.0,Female,22.72,5.58,6.87,8.0,59.0,144.0,92.0,10.212774822333934,2.0,4.0,7.0
1959.0,41.0,Female,22.32,6.8,8.48,9.0,77.0,272.0,125.0,9.48452229783177,4.0,9.0,6.0
1213.0,41.0,Male,20.18,5.62,9.43,6.0,85.0,91.0,147.0,6.7681325411587165,8.0,2.0,1.0
9619.0,57.0,Other,20.03,5.01,8.98,9.0,5.0,72.0,102.0,8.903553398924847,9.0,2.0,8.0
4389.0,37.0,Female,22.97,5.89,6.92,4.0,79.0,21.0,153.0,7.847230651591879,9.0,10.0,2.0
2560.0,36.0,Other,21.58,5.8,8.22,7.0,52.0,182.0,31.0,7.985565731625112,2.0,6.0,2.0
9595.0,54.0,Female,23.98,4.68,4.7,1.0,50.0,95.0,104.0,7.508923353516724,5.0,2.0,4.0
1281.0,46.0,Male,22.57,5.33,6.76,5.0,58.0,160.0,178.0,4.332582872403137,10.0,4.0,5.0
,43.0,Other,21.48,4.47,6.99,1.0,25.0,135.0,46.0,8.564877973110637,8.0,9.0,4.0
4072.0,36.0,Other,23.22,5.69,6.47,5.0,89.0,219.0,62.0,11.817393473770538,9.0,9.0,9.0
4230.0,58.0,Other,23.55,6.07,6.52,4.0,18.0,81.0,140.0,10.382509190869076,3.0,1.0,8.0
1454.0,42.0,Male,22.0,4.33,6.33,7.0,14.0,92.0,160.0,5.90035304699462,1.0,3.0,6.0
,32.0,Male,23.17,5.57,6.4,4.0,20.0,140.0,18.0,4.811366627593732,4.0,5.0,4.0
7894.0,45.0,Other,23.25,4.2,4.95,2.0,1.0,76.0,131.0,10.58539212476528,7.0,10.0,7.0
7869.0,45.0,Male,21.13,4.87,7.73,8.0,41.0,71.0,151.0,6.827371034421745,10.0,5.0,4.0
7807.0,36.0,Other,21.4,2.38,4.98,4.0,73.0,241.0,68.0,5.344113661958907,3.0,2.0,1.0
,20.0,Male,23.53,5.17,5.63,9.0,67.0,268.0,48.0,10.654904906011376,5.0,5.0,8.0
2735.0,20.0,Female,23.95,6.12,6.17,6.0,1.0,214.0,171.0,9.294713518795028,1.0,3.0,2.0
8123.0,20.0,Female,20.37,2.86,6.5,8.0,4.0,247.0,107.0,5.949253728510933,5.0,4.0,6.0
5895.0,50.0,Male,23.18,7.59,8.41,2.0,13.0,291.0,150.0,6.104900559286743,2.0,9.0,5.0
5917.0,20.0,Other,20.08,1.32,5.23,5.0,7.0,24.0,78.0,11.70492089271339,4.0,2.0,6.0
1419.0,55.0,Other,21.6,6.53,8.93,3.0,6.0,154.0,91.0,7.853078772278899,7.0,5.0,6.0
5268.0,49.0,Male,22.8,6.04,7.24,5.0,51.0,255.0,116.0,7.9059290961742255,4.0,2.0,4.0
